"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"ECB_00422","0.890477","0.197888","0.247059","5.387952","8.541907","58.307416","129.329257"
"ECB_00423","0.836178","0.093117","0.11039","6.394957","8.367157","33.592302","168.555625"
"ECB_00424","0.640718","0.116015","0.248836","7.998632","25.306363","34.528064","166.263202"
"ECB_00425","0.877389","0.02663","0.117385","2.999996","9.372153","36.487523","214.80392"
"ECB_00427","0.120607","0.345036","0.68046","5.838915","7.928467","25.949753","167.787479"
"ECB_00431","0.590016","0.374169","0.730764","21.98457","22.000781","47.450025","48.788777"
"ECB_00438","0.33278","0.673011","0.942697","1.440077","8.007879","29.046751","167.9786"
"ECB_00439","0.076279","0.081844","0.54584","9.637166","10.08589","23.504582","167.999881"
"ECB_00443","0.596947","0.313965","0.466042","2.245449","16.976207","25.664186","151.236499"
"ECB_00444","0.88259","0.289729","0.588295","4.710358","8.282059","26.436722","167.990661"
"ECB_00447","0.829869","0.477188","0.749406","6.633477","7.509963","51.742068","150.305324"
"ECB_00448","0.23974","0.35246","0.865967","3.874208","4.872355","48.001752","102.237797"
"ECB_00449","0.317712","0.090211","1.011072","7.090646","7.094317","22.384908","180.640833"
"ECB_00452","0.729838","0.001137","0.379077","7.999998","8.000001","47.32153","220.370795"
"ECB_00453","0.157154","0.005461","0.923339","8.751044","17.321845","63.831791","121.055807"
"ECB_00454","0.001674","0.026195","0.751752","0.004614","58.901804","66.782115","334.29455"
"ECB_00455","0","0.002196","0.249123","0.000381","7.403053","41.824685","168.950871"
"ECB_00456","0.048851","0.792671","0.560653","6.788286","23.818598","28.160558","154.954594"
"ECB_00458","0.019278","0.010072","0.749488","0.342092","1.976275","48.86627","124.226828"
"ECB_00461","0.003138","0.015079","0.231933","24.000478","24.000722","25.000685","154.897934"
"ECB_00471","0.264816","7.2e-05","0.420315","0.037933","20.792777","34.223868","145.642227"
"ECB_00473","0.621256","0.001265","0.011074","5.999958","6.002598","11.98324","258.030104"
"ECB_00474","0.922411","0.069877","0.088822","5.90547","8.326668","24.421965","188.536311"
"ECB_00475","0.807465","0.247796","0.139054","7.914835","8.388635","30.855898","168.001613"
"ECB_00481","0.022191","0","0.912639","0.815327","4.911831","29.228766","335.999752"
"ECB_00493","0.206117","0","0.862262","9.211906","34.040639","47.526275","205.751101"
"ECB_00495","0.218909","0.333021","0.776516","17.728259","17.728957","21.385959","161.139441"
"ECB_00502","0.097877","0.967072","0.664308","6.036894","12.131243","12.131292","184.13981"
"ECB_00506","0.012022","0.401957","0.576069","8.000057","21.318871","22.993744","128.617045"
"ECB_00507","0.035258","0.25466","0.584363","6.761203","15.048604","15.048613","192.134521"
"ECB_00508","0.020831","0.184468","0.775562","8.033049","27.141033","50.895623","161.319843"
"ECB_00518","0.340682","5e-06","0.53943","0.032335","16.886346","19.060221","193.987312"
"ECB_00521","0.142778","0.001947","0.754908","1.6e-05","42.241343","57.135565","90.437931"
"ECB_00522","0.15985","0.002961","0.738389","0.595056","47.850028","67.024055","168.031133"
"ECB_00531","0.597406","0","0.16377","4.475121","8.503538","9.083126","128.864851"
"ECB_00532","0.730333","0.018963","0.129042","5.830773","6.243792","58.978876","143.995198"
"ECB_00536","0.896142","0.024065","0.045424","5.000079","8.488276","27.645365","165.264953"
"ECB_00538","0.783706","0.11708","0.468599","4.449081","9.56366","23.998664","204.992251"
"ECB_00541","0.203405","0.334356","0.546578","5.173146","11.874326","12.069578","106.110284"
"ECB_00548","0.910768","0.090898","0.652333","6.00237","15.105955","19.849701","165.289445"
"ECB_00549","0.148396","0.011435","0.125277","6.02521","23.390849","142.219259","267.053768"
"ECB_00550","0.148698","0.045185","0.22539","9.811883","16.25475","34.827206","176.383937"
"ECB_00552","0.066787","0.427636","0.146465","4.999942","5.000207","28.475869","173.738552"
"ECB_00554","0.179393","0","0.094319","7.054119","24.074543","33.850002","159.771091"
"ECB_00556","0.660674","0.051593","0.696819","5.99899","11.81404","36.329742","219.720753"
"ECB_00559","0.520457","0.056165","0.837167","8.232068","13.217626","27.54393","167.993491"
"ECB_00561","0.042127","0.107478","0.226513","4.098307","4.102945","48.118315","135.709065"
"ECB_00565","0.09178","0.147755","0.172319","0.037038","7.595834","50.437085","177.286087"
"ECB_00566","0.075498","0.1585","0.790968","6.153133","14.333659","23.999903","168.000169"
"ECB_00569","6e-06","0.678736","0.119552","2.366613","25.0769","109.160861","331.086166"
"ECB_00573","0.909953","0.200677","0.643274","6.000494","48.005922","48.005931","66.71632"
"ECB_00574","0.741863","0.055949","0.095169","7.99766","8.00363","20.961578","184.478032"
"ECB_00575","0.610857","0.149821","0.28895","5.866919","9.272384","24.000942","181.512179"
"ECB_00588","0.390314","1.8e-05","0.499791","8.001956","22.994507","51.20506","133.773225"
"ECB_00592","0.043319","0.092548","0.356659","24.066563","24.163434","31.341157","105.333099"
"ECB_00594","0.710512","0.7205","0.855099","5.684656","5.871433","48.000036","145.988518"
"ECB_00595","0.035029","0.653775","0.145365","5.089742","23.987671","24.645265","208.821961"
"ECB_00596","0.740606","0.409128","0.169602","8.000067","9.937517","9.950569","176.825201"
"ECB_00600","0.762065","0.194468","0.691532","10.217206","47.99573","100.937918","101.017606"
"ECB_00601","0.995588","0.117478","0.105645","3.166624","8.817459","105.924577","105.926169"
"ECB_00602","0.907779","0.146631","0.205095","5.479742","9.543976","10.306928","184.403611"
"ECB_00603","0.865077","0.064296","0.226522","7.999784","8.000071","25.372406","171.718971"
"ECB_00604","0.706858","0.000682","0.225366","5.782448","8.472147","23.989859","199.740599"
"ECB_00605","0.4739","0","0.244322","17.765112","17.778509","40.328115","171.60152"
"ECB_00606","0.891601","0.029541","0.193845","3.999991","8.616854","27.766472","159.808624"
"ECB_00608","0.84564","1e-06","0.366665","6.453899","8.687065","22.038319","238.695056"
"ECB_00609","0.738004","0.048447","0.132655","5.944614","25.442216","120.298163","120.300121"
